original_file,new_file,group,number,common_name,dap_type,rep,control_files,source
ampA22_1.bw,A_SlTCP18_ampDAP_rep1.bw,A,22,SlTCP18,ampDAP,1,ampA_N_1.bw,daplist
SR83-1.bw,SR_SlWOX14_ampDAP_rep1.bw,SR,83,SlWOX14,ampDAP,1,SRN-1.bw,daplist
ampD119-2.bw,D_ddtfr10a_ampDAP_rep2.bw,D,119,ddtfr10a,ampDAP,2,ampD-N-2.bw,daplist
A24-1.bw,A_SlWRKY41_DAP_rep1.bw,A,24,SlWRKY41,DAP,1,A-N-1.bw,daplist
ampA20_3.bw,A_SlNAM1_ampDAP_rep3.bw,A,20,SlNAM1,ampDAP,3,ampA_N_3.bw,daplist
D122_1.bw,D_SlMYB44_DAP_rep1.bw,D,122,SlMYB44,DAP,1,D_N_1.bw,daplist
CN68-1.bw,CN_ERF9_DAP_rep1.bw,CN,68,ERF9,DAP,1,CN-N-1.bw,daplist
CN87-1.bw,CN_SlbHLH014_DAP_rep1.bw,CN,87,SlbHLH014,DAP,1,CN-N-1.bw,daplist
ampA14_1.bw,A_SlZIP3_ampDAP_rep1.bw,A,14,SlZIP3,ampDAP,1,ampA_N_1.bw,daplist
ampB48_3.bw,B_SlERF4-1_ampDAP_rep3.bw,B,48,SlERF4-1,ampDAP,3,ampB_N_3.bw,daplist
F1-2.bw,F_JERF1_DAP_rep2.bw,F,1,JERF1,DAP,2,F-N-2.bw,daplist
A10-3.bw,A_SlGABL2_DAP_rep3.bw,A,10,SlGABL2,DAP,3,A-N-3.bw,daplist
SR155-2.bw,SR_SlNAM5_ampDAP_rep2.bw,SR,155,SlNAM5,ampDAP,2,SRN-2.bw,daplist
B44_2.bw,B_SlERF36_DAP_rep2.bw,B,44,SlERF36,DAP,2,B_N_2.bw,daplist
ampA5_3.bw,A_SlWRKY81_ampDAP_rep3.bw,A,5,SlWRKY81,ampDAP,3,ampA_N_3.bw,daplist
A11-2.bw,A_DREB3_DAP_rep2.bw,A,11,DREB3,DAP,2,A-N-2.bw,daplist
A5-1.bw,A_SlWRKY81_DAP_rep1.bw,A,5,SlWRKY81,DAP,1,A-N-1.bw,daplist
ampB49_2.bw,B_Sl-ERF_E_4_ampDAP_rep2.bw,B,49,Sl-ERF_E_4,ampDAP,2,ampB_N_2.bw,daplist
ampA21_2.bw,A_SlZF1_ampDAP_rep2.bw,A,21,SlZF1,ampDAP,2,ampA_N_2.bw,daplist
ampC86-1.bw,C_Sl-ERF_F_3_ampDAP_rep1.bw,C,86,Sl-ERF_F_3,ampDAP,1,ampC-N-1.bw,daplist
ampC68-1.bw,C_ERF9_ampDAP_rep1.bw,C,68,ERF9,ampDAP,1,ampC-N-1.bw,daplist
ampC87-1.bw,C_SlbHLH014_ampDAP_rep1.bw,C,87,SlbHLH014,ampDAP,1,ampC-N-1.bw,daplist
ampD119-3.bw,D_ddtfr10a_ampDAP_rep3.bw,D,119,ddtfr10a,ampDAP,3,ampD-N-3.bw,daplist
ampA20_2.bw,A_SlNAM1_ampDAP_rep2.bw,A,20,SlNAM1,ampDAP,2,ampA_N_2.bw,daplist
ampB48_2.bw,B_SlERF4-1_ampDAP_rep2.bw,B,48,SlERF4-1,ampDAP,2,ampB_N_2.bw,daplist
ampB47_1.bw,B_GRAS9_ampDAP_rep1.bw,B,47,GRAS9,ampDAP,1,ampB_N_1.bw,bpnet
D119_1.bw,D_ddtfr10a_DAP_rep1.bw,D,119,ddtfr10a,DAP,1,D_N_1.bw,daplist
F1-3.bw,F_JERF1_DAP_rep3.bw,F,1,JERF1,DAP,3,F-N-3.bw,daplist
A10-2.bw,A_SlGABL2_DAP_rep2.bw,A,10,SlGABL2,DAP,2,A-N-2.bw,daplist
SR155-3.bw,SR_SlNAM5_ampDAP_rep3.bw,SR,155,SlNAM5,ampDAP,3,SRN-3.bw,daplist
ampA5_2.bw,A_SlWRKY81_ampDAP_rep2.bw,A,5,SlWRKY81,ampDAP,2,ampA_N_2.bw,daplist
B44_3.bw,B_SlERF36_DAP_rep3.bw,B,44,SlERF36,DAP,3,B_N_3.bw,daplist
A11-3.bw,A_DREB3_DAP_rep3.bw,A,11,DREB3,DAP,3,A-N-3.bw,daplist
ampA15_1.bw,A_CNR_ampDAP_rep1.bw,A,15,CNR,ampDAP,1,ampA_N_1.bw,daplist
ampB49_3.bw,B_Sl-ERF_E_4_ampDAP_rep3.bw,B,49,Sl-ERF_E_4,ampDAP,3,ampB_N_3.bw,daplist
A33-1.bw,A_SlTCP15_DAP_rep1.bw,A,33,SlTCP15,DAP,1,A-N-1.bw,daplist
B66_1.bw,B_SlWRKY40_DAP_rep1.bw,B,66,SlWRKY40,DAP,1,B_N_1.bw,daplist
ampA21_3.bw,A_SlZF1_ampDAP_rep3.bw,A,21,SlZF1,ampDAP,3,ampA_N_3.bw,daplist
CN86-1.bw,CN_Sl-ERF_F_3_DAP_rep1.bw,CN,86,Sl-ERF_F_3,DAP,1,CN-N-1.bw,daplist
ampC84-2.bw,C_Dof4_ampDAP_rep2.bw,C,84,Dof4,ampDAP,2,ampC-N-2.bw,daplist
D121_3.bw,D_Sl-ERF_C_6_DAP_rep3.bw,D,121,Sl-ERF_C_6,DAP,3,D_N_3.bw,daplist
ampA23_1.bw,A_TM29_ampDAP_rep1.bw,A,23,TM29,ampDAP,1,ampA_N_1.bw,daplist
F115-1.bw,F_SlERF4-2_DAP_rep1.bw,F,115,SlERF4-2,DAP,1,F-N-1.bw,daplist
CN84-3.bw,CN_Dof4_DAP_rep3.bw,CN,84,Dof4,DAP,3,CN-N-3.bw,daplist
A27-3.bw,A_EIL4_DAP_rep3.bw,A,27,EIL4,DAP,3,A-N-3.bw,daplist
ampD115-3.bw,D_SlERF4-2_ampDAP_rep3.bw,D,115,SlERF4-2,ampDAP,3,ampD-N-3.bw,daplist
SR38-3.bw,SR_SlHB1_ampDAP_rep3.bw,SR,38,SlHB1,ampDAP,3,SRN-3.bw,daplist
CN92-3.bw,CN_ERF10_DAP_rep3.bw,CN,92,ERF10,DAP,3,CN-N-3.bw,daplist
F103-1.bw,F_SlWRKY3_DAP_rep1.bw,F,103,SlWRKY3,DAP,1,F-N-1.bw,bpnet
ampD103-3.bw,D_SlWRKY3_ampDAP_rep3.bw,D,103,SlWRKY3,ampDAP,3,ampD-N-3.bw,bpnet
A31-3.bw,A_GRAS10_DAP_rep3.bw,A,31,GRAS10,DAP,3,A-N-3.bw,daplist
B64_3.bw,B_SlZIP7_DAP_rep3.bw,B,64,SlZIP7,DAP,3,B_N_3.bw,daplist
ampA8_3.bw,A_LeZIP2_ampDAP_rep3.bw,A,8,LeZIP2,ampDAP,3,ampA_N_3.bw,daplist
B49_2.bw,B_Sl-ERF_E_4_DAP_rep2.bw,B,49,Sl-ERF_E_4,DAP,2,B_N_2.bw,daplist
ampC72-1.bw,C_SolycHsfC1_ampDAP_rep1.bw,C,72,SolycHsfC1,ampDAP,1,ampC-N-1.bw,daplist
A13-1.bw,A_NAC-NOR_DAP_rep1.bw,A,13,NAC-NOR,DAP,1,A-N-1.bw,daplist
ampD121-1.bw,D_Sl-ERF_C_6_ampDAP_rep1.bw,D,121,Sl-ERF_C_6,ampDAP,1,ampD-N-1.bw,daplist
ampC92-2.bw,C_ERF10_ampDAP_rep2.bw,C,92,ERF10,ampDAP,2,ampC-N-2.bw,daplist
A7-2.bw,A_MADS-RIN_DAP_rep2.bw,A,7,MADS-RIN,DAP,2,A-N-2.bw,daplist
A8-1.bw,A_LeZIP2_DAP_rep1.bw,A,8,LeZIP2,DAP,1,A-N-1.bw,daplist
ampA17_3.bw,A_CBF2_ampDAP_rep3.bw,A,17,CBF2,ampDAP,3,ampA_N_3.bw,daplist
SR122-3.bw,SR_SlMYB44_ampDAP_rep3.bw,SR,122,SlMYB44,ampDAP,3,SRN-3.bw,daplist
ampB44_2.bw,B_SlERF36_ampDAP_rep2.bw,B,44,SlERF36,ampDAP,2,ampB_N_2.bw,daplist
A6-3.bw,A_Sl-ERF_F_2_DAP_rep3.bw,A,6,Sl-ERF_F_2,DAP,3,A-N-3.bw,daplist
ampA16_2.bw,A_SlWRKY31_ampDAP_rep2.bw,A,16,SlWRKY31,ampDAP,2,ampA_N_2.bw,bpnet
ampA19_1.bw,A_SolycHsfB1_ampDAP_rep1.bw,A,19,SolycHsfB1,ampDAP,1,ampA_N_1.bw,daplist
ampA6_1.bw,A_Sl-ERF_F_2_ampDAP_rep1.bw,A,6,Sl-ERF_F_2,ampDAP,1,ampA_N_1.bw,daplist
B48_3.bw,B_SlERF4-1_DAP_rep3.bw,B,48,SlERF4-1,DAP,3,B_N_3.bw,daplist
ampA9_2.bw,A_VAHOX1_ampDAP_rep2.bw,A,9,VAHOX1,ampDAP,2,ampA_N_2.bw,daplist
